Watershed,Plot,Easting NAD83 zone 17N (meters),Northing NAD83 zone 17N (meters)
3,26,613927.9057,4324244.8821
3,29,613853.8143,4324174.4039
3,33,613736.3547,4323834.6670
3,35,613626.1143,4324380.4090
3,39,613618.8926,4323737.0815
3,40,613599.0099,4324150.9069
3,44,613541.1841,4323935.8610
3,48,613488.7733,4324333.4219
7,53,613855.2557,4324422.2520
7,54,613888.4411,4324443.2116
7,57,613752.2046,4324541.0178
7,58,613663.1273,4324553.2423
7,64,613731.2421,4324846.6697
7,66,613809.8401,4324790.7805
7,70,613918.1312,4324663.2818
7,71,613940.8375,4324621.3642
7,72,614003.7154,4324628.3517
